id,likes,shares,comments,views
483663981712302_8049143198497638,0,0,0,0
987554882828732_997806008470286,52,0,29,0
1230163183668104_809234138007144,4,1,0,0
103595291561113_1024665199659271,1,0,0,0
602132886463418_816804473920723,2,0,0,0
751612498280450_894087019406615,3,0,0,0
100006485393022_4571935133032621,22,1,1,0
1072611149439904_875348444628544,1,0,3,0
2023168317797126_885025650332461,9,0,0,0
960934148980080_1006818407724987,0,0,0,0
100052281602746_1050491750036869,4,0,0,0
645037539776052_1551366832476447,1,0,0,0
384282752424649_1056074936523796,89,9,2,0
100089402520941_462755543381193,2,0,0,0
104783221047128_891552629658263,33,0,0,0
184586842007051_1014056300730178,2,0,0,0
139477762587186_122157519716091691,0,0,0,0
61554918207793_122158731074163940,0,0,0,0
236481354711654_1071499044543210,26,0,2,0
61559641296708_122124581792321376,12,0,0,0
354357844432788_122099147450420854,0,0,0,0
388269755048066_864308072384641,2,0,0,0
100032312057685_1149280632825661,10,2,82,0
483663981712302_8042250482520243,0,0,0,0
1390167227872503_3728853710670498,12,0,7,0
100005994519827_2442270529316074,27,0,15,0
100460061388707_1011037657474151,0,0,0,0
147757294951481_406703892390152,0,0,0,0
5791090194315898_8046459895445572,1,0,10,0
2023168317797126_884358837065809,1,1,0,0
155034974066854_470612132509135,0,0,0,0
1862347380784681_2360624524290295,0,0,0,0
1779862445800687_1939493686504228,0,0,0,0
373417885851109_122096354096424490,0,0,0,0
103555896010348_426827277017199,0,0,0,0
104783221047128_890863949727131,34,0,0,0
184586842007051_1013278190807989,4,0,0,0
100003626704787_3134747959989397,5,0,0,0
111139820375486_1010347054211378,0,0,0,0
100006666247790_3899188106980026,69,0,2,0
100002924760028_7933079030132844,0,0,1,0
388269755048066_863807962434652,1,0,0,0
100032312057685_1148782976208760,8,2,61,0
100030401302738_1193203615036337,7,0,0,0
9513147255392298_26235784569368637,1,0,8,0
4248053741892911_8233374386694140,0,0,0,0
9513147255392298_26235415809405513,0,0,5,0
100040962249076_1229261018449295,1,0,0,0
100000429098134_8382431601781060,21,8,3,0
117515632967794_926793609252605,1,0,2,0
104355317678518_1063907472131804,0,0,0,0
106119597951747_1155453715564066,0,0,0,0
2023168317797126_883761817125511,6,2,0,0
290193323369888_412123484510204,15,0,10,0
1521634361490980_3830060020648391,19,1,13,0
100052281602746_1049302850155759,2,1,0,0
100089402520941_461471233509624,3,0,0,0
104783221047128_890228953123964,34,0,0,0
184586842007051_1012522464216895,2,0,0,0
100000190322330_8792487850767472,2,0,0,0
1848480792_10221887332852984,4,1,2,0
235606932324258_569222265629388,3,0,0,0
100015753014926_1437885623413191,0,0,0,0
1336361268_10226476802329782,18,0,2,0
335130359687021_122110822016377044,0,0,0,0
100005132444039_2759968764184178,5,0,4,0
116533490931705_497882609488574,7,1,0,0
388269755048066_863151619166953,1,0,0,0
100005194026408_2553315694851540,0,0,0,0
100032312057685_1148141932939531,9,2,93,0
100020186962031_1478664686149749,1,0,5,0
100005448668392_2588386544686276,66,0,16,0
100046582602504_1017193963176681,7,0,3,0
2757281961249471_3618698601774465,9,1,9,0
100005577404772_2479162068946349,39,0,10,0
2023168317797126_883110353857324,3,5,0,0
285530012202430_526834639674294,467,3,3,0
61560344523747_122118751388344817,0,0,0,0
170781491718162_1046113694184933,6,23,101,0
61559965634643_122119824788332187,0,0,0,0
104783221047128_889630496517143,33,0,0,0
184586842007051_1011831867619288,4,0,0,0
100001614532856_8059480124115725,57,0,17,0
100003215860067_7644194819030971,74,0,5,0
388269755048066_862610755887706,1,0,0,0
121011694681988_876978894466052,2,0,0,0
100032312057685_1147581636328894,4,2,59,0
100009938437617_2224344311240162,12,0,18,0
273687383236002_499508002604436,326,22,55,0
2442864589293021_1031879408328933,0,0,1,0
108685388651124_443678635161565,9,0,0,0
603008763954272_1554342138820925,0,0,0,0
2971874516244923_7689870231111971,0,0,0,0
445094172562183_1685017688569819,0,0,0,0
2971874516244923_7689860914446236,0,0,0,0
445094172562183_1685016548569933,0,0,0,0
603008763954272_1554341025487703,0,0,0,0
2971874516244923_7689859297779731,0,0,0,0
445094172562183_1685016405236614,0,0,0,0
603008763954272_1554340802154392,0,0,0,0
103324062286982_474442828512386,0,0,1,0
100005025795809_2758811540963012,0,0,0,0
61560581455096_122116999886352715,0,0,0,0
2023168317797126_882511297250563,3,1,0,0
642565269503476_1890685331358124,4,0,5,0
100029286250833_1260030491649814,52,1,10,0
1090443195_10225161624962973,260,0,38,0
100089402520941_460191536970927,1,0,0,0
184586842007051_1011162384352903,0,0,0,0
104783221047128_889016156578577,33,0,0,0
170781491718162_1045332050929764,29,42,81,0
599255910_10160020718950911,65,0,7,0
61552058162068_122192150876068605,6,0,9,0
3276697675912395_3695146044067554,35,0,82,0
100005342795752_2456594197861983,53,0,8,0
388269755048066_862000855948696,2,0,0,0
2023168317797126_882135273954832,3,0,0,0
277858616053100_981508287318785,0,0,1,0
100032312057685_1147033583050366,7,2,65,0
869956119703153_8206352122730146,1,0,2,0
100087616925299_453852020878692,5,0,0,0
597098374105400_1020208669474269,30,0,3,0
100609492316645_798131415789543,3,0,2,0
855548344780638_1032541764931305,2,0,1,0
106205768002864_785628140322496,1,1,1,0
869956119703153_8206380846060607,6,1,5,0
100002516685635_7824513397642472,14,0,18,0
104882915284171_501023485774529,2,0,1,0
555811447919065_490277090051503,0,0,1,0
100057044330049_1001036788474456,147,0,54,0
109279268258930_491665643376124,2,0,1,0
122570794171287_362713866850498,0,0,1,0
290226768286559_810760234478379,0,0,1,0
61556108937980_122164188704203631,36,0,16,0
109104921785374_454643263992956,0,0,1,0
501052333702302_1070112964478884,0,0,1,0
689389148938895_1164313974779741,1,0,0,0
2287889388101809_1031992884956956,3,0,1,0
109386214265266_849878880347903,1,0,1,0
856505544_10169043117660545,8,0,3,0
1429400501_10233260335396970,0,0,0,0
1293095694404647_2409198769460995,111,32,25,0
1900569283759485_1907040116445735,5,0,0,0
100000004610468_8222741167735955,8,0,4,0
100049086405627_1026139142365623,1,0,0,0
2023168317797126_881924863975873,4,0,0,0
103459374544993_1031359331893095,4,0,1,0
104967239065335_452907050936030,2,0,1,0
102001497962291_1022506835994044,3,0,1,0
100835485121797_977415604393432,3,0,2,0
1549586685910240_1552798275589081,0,0,0,0
428056064413026_484704264244849,1,0,1,0
585319185279578_910436677790323,5,0,1,0
2458417657502575_1009659510551078,0,0,1,0
287421156390823_1009089904557849,1,0,1,0
100005194026408_2551655175017592,1,0,0,0
629066250893500_122187568412023472,1,0,0,0
61557373862892_122147628872245795,4,0,0,0
100089402520941_459558240367590,1,0,0,0
104783221047128_888322789981247,33,0,0,0
184586842007051_1010471864421955,3,0,0,0
102914262103283_490447696849062,19,0,1,0
422113468353961_547043207655278,20,1,1,0
197918933631610_885226850302424,154,9,83,0
351484768610911_1018241489747513,95,3,6,0
103436443705141_1018575082962701,6,0,2,0
101761269339717_441698222010088,9,0,1,0
363697743831525_899319145573380,269,2,2,0
100003380376827_7666259603496643,110,0,33,0
388269755048066_861376189344496,1,0,0,0
670467505_10163473997877506,1,0,0,0
2023168317797126_881525190682507,3,1,0,0
100032312057685_1146452686441789,7,2,88,0
3023202714464310_7792437790874088,0,0,0,0
100084685360121_443646041801571,16,0,4,0
403154659072289_487456870642067,0,0,0,0
100007508373722_3613197262273851,10,0,1,0
567347546643981_872865741545817,1,0,0,0
2023168317797126_881332177368475,5,0,0,0
193018244068566_880941047409982,938,43,171,0
1211884242782658_1468870297084050,262,133,301,0
61554870607406_122155359884162353,6,0,14,0
235606932324258_566246515926963,8,0,9,0
100088928528874_465276746446606,56,0,47,0
1002520332_10228736603212264,13,0,2,0
100009525858313_3855171941476963,0,0,0,0
985273848207000_880805914064051,0,0,0,0
104783221047128_887709266709266,33,0,0,0
184586842007051_1009782391157569,3,0,0,0
100003725139489_3188359391298201,262,100,55,0
100001866918981_26045309011781307,39,0,0,0
100000131706737_8551650604849245,46,1,13,0
100000782221335_7728583660510965,50,0,11,0
1009621023687487_1179544103361844,39,2,4,0
100073429309771_517599897364316,3,0,0,0
2023168317797126_880944520740574,4,0,0,0
636247530241637_1812318429301202,0,0,0,0
981702579582743_1125720248514308,0,0,0,0
100000873547535_7992595677446138,17,0,0,0
1731711363761677_3689661797966614,0,0,0,0
1834564506739925_2405941406268896,0,0,0,0
2484858598275372_7918543841573460,0,0,0,0
100012548650468_1853407145087556,17,0,0,0
747433692870809_1528049758142528,3,0,8,0
1417961838750656_1569684440245061,1,0,11,0
1504588853038755_3448792525285035,4,0,8,0
9513147255392298_26184770034470091,1,0,8,0
6523576251004316_8510532158975372,0,0,6,0
1040662675_10227355817614758,68,0,4,0
388269755048066_860649469417168,2,0,0,0
100032312057685_1145762303177494,7,2,74,0
100089402520941_458450663811681,2,0,0,0
443315499047532_869196255234404,2,0,0,0
100005194026408_2550206781829098,4,0,0,0
100007693087422_3735223966744003,14,2,7,0
2023168317797126_880663097435383,5,0,0,0
291535204318665_924395369496770,0,0,2,0
100006461854912_4713869538838395,1,0,0,0
100054036248359_962914835519716,0,0,0,0
100020186962031_1476131009736450,1,0,5,0
100010568146845_2250310118664571,0,0,0,0
104783221047128_887128130100713,37,0,0,0
184586842007051_1009028124566329,2,0,0,0
170781491718162_1042975117832124,45,53,140,0
100046582602504_1014390830123661,6,0,2,0
100006883542715_3613778515528231,49,0,17,0
312857555659_874302238075907,13,1,2,0
100001693914714_7859571017442617,0,0,0,0
661066699_10159765480051700,0,0,0,0
100004500783506_2826802460813086,0,0,0,0
100010870907134_2129647724074237,0,0,0,0
100002859730728_7452996641472253,5,0,0,0
100077271412613_498185712767138,0,0,0,0
100082139914835_470499072364753,1,0,0,0
104783221047128_900192648794261,33,0,0,0
184586842007051_1023354876466987,9,0,0,0
100040962249076_1238089650899765,40,0,22,0
100020186962031_1488081701874714,2,0,8,0
100046582602504_1026646848898059,2,0,2,0
100006500641769_4170818729811441,0,0,0,0
388269755048066_872583151557133,0,0,0,0
100032312057685_1157127012041023,4,2,97,0
2023168317797126_892716069563419,3,0,0,0
100003288707109_7788733637912849,2,0,2,0
104355317678518_1073875864468298,0,0,0,0
106119597951747_1164069181369186,0,0,0,0
721328631239994_916445063849441,0,0,0,0
1080567638951097_2225987314409118,0,0,0,0
624474154299436_7864847786928667,0,0,0,0
2023168317797126_892638912904468,7,0,0,0
337798624541242_1034241551563609,1,1,10,0
1417961838750656_1581381819075323,1,0,9,0
358500986240568_832261752197820,3,0,0,0
177542840153225_1171471757426990,10,0,4,0
100001309040341_8030227800364108,13,0,2,0
430378795633471_860030796001600,0,0,0,0
230767107475463_1542806042938223,0,0,0,0
445012810871714_857597892946535,0,0,0,0
2023168317797126_892516052916754,3,0,1,0
1425808838226928_1741679709973171,0,0,0,0
527525848198102_1569008557383154,0,0,0,0
374379901146457_989442312973543,2,0,0,0
961509644529299_1401448743868718,1,0,0,0
104783221047128_899515128862013,28,0,0,0
184586842007051_1022671423201999,4,0,0,0
170781491718162_1057455596384076,22,32,109,0
109796574692386_503105345411265,63,45,3,0
100001679978126_7900384890027432,5,0,0,0
1438714326447694_490005310443363,163,49,1,0
388269755048066_871918041623644,2,0,0,0
100002976471561_7616377421804731,304,9,19,0
100032312057685_1156477502105974,7,2,79,0
100001713054848_8128195740580780,24,0,17,0
184586842007051_1021980566604418,5,0,0,0
104783221047128_898845955595597,30,0,0,0
100071459263041_830854942346098,17,0,6,0
2023168317797126_891511909683835,13,8,0,0
100005169732778_2704541853061446,100,0,50,0
100006583710834_3938512296378189,63,0,2,0
100032312057685_1155877175499340,10,0,46,0
100022082523657_1696853401060728,38,0,2,0
100003146618527_7865925943522215,47,0,14,0
582871640030411_1041629550821282,1,0,4,0
697913860839803_1523029881661526,244,17,52,0
2023168317797126_891304563037903,2,1,0,0
100083775075470_461515553317610,0,0,0,0
100009938437617_2233797540294839,15,0,10,0
100080645284493_504785062219666,33,0,4,0
571213901_10163954199423902,0,0,1,0
100005300830274_2578260775693925,5,0,0,0
2023168317797126_891230169712009,5,0,0,0
100089402520941_469554632701284,1,0,0,0
104783221047128_898189105661282,34,0,0,0
184586842007051_1021294066673068,3,0,0,0
124413996198133_879832070656318,6,0,0,0
100003288707109_7772884792831067,3,0,1,0
61561469099121_122113347356382303,0,0,0,0
2023168317797126_890871833081176,5,0,0,0
61561490750480_122112859928383025,0,0,0,0
100003165120525_8041232039325554,37,0,0,0
61561363356083_122114448818378778,1,0,0,0
61561244527348_122114149880374817,0,0,0,0
2023168317797126_890810459753980,11,0,0,0
100000207106777_8800702419946574,85,0,32,0
1729764963922670_3937577889808022,82,0,44,0
100089096843328_478554308457793,5,0,3,0
100052152683547_1023246226090457,3,0,3,0
100094414927527_342783298878832,6,0,5,0
334945369709898_122106576410414014,0,0,0,0
388269755048066_870585575090224,1,0,0,0
483663981712302_8098427586902532,0,0,0,0
1678419355722404_3929149407316043,0,0,0,0
100032312057685_1155171325569925,6,2,63,0
2023168317797126_890711479763878,5,0,0,0
1848480792_10221948326857796,5,1,2,0
100255155467632_881803503989970,15,0,0,0
231302094116212_906600701508883,19,0,0,0
730613311946118_1022220239452089,19,1,9,0
938255574269022_1193233028771274,3,0,0,0
61550547144551_122188580114018238,9,0,3,0
426317737012368_481394044838070,0,0,0,0
1403161166961482_1492868877990710,0,0,0,0
2023168317797126_890576813110678,7,1,0,0
107526715007883_521197480429313,0,0,0,0
100089402520941_468854122771335,2,0,0,0
184586842007051_1020561393413002,7,0,0,0
104783221047128_897428362404023,33,0,0,0
358887283981163_122094926396450120,0,0,0,0
100001048522928_8273746552670213,117,2,50,0
2037830259694385_3464269897050407,12,3,9,0
2023168317797126_890212603147099,7,1,4,0
100020186962031_1485420042140880,1,0,4,0
388269755048066_870007745148007,1,1,0,0
61561384595907_122113872644379486,0,0,0,0
100032312057685_1154583138962077,8,3,89,0
2023168317797126_890066839828342,9,0,1,0
100046582602504_1023935785835832,2,0,3,0
100893159542884_455268160753673,22,4,2,0
100002611992515_8155001477930171,0,0,0,0
100827555246622_1161317181575384,0,0,0,0
111960323548356_1014928657303148,1,0,0,0
61561955224907_122109048692398507,0,0,0,0
100093336040800_366197483168117,0,0,0,0
104783221047128_896698009143725,30,0,2,0
184586842007051_1019794466823028,3,0,0,0
170781491718162_1054434120019557,16,20,127,0
61562614281318_122103277886420476,0,0,0,0
111139820375486_1015919430320807,0,0,1,0
908552169312220_2741490896018329,0,0,0,0
136649622688246_453699160983289,1,0,0,0
1120277771476936_1308177776817205,2,0,4,0
865382136999621_2565197783684706,31,3,3,0
211513735687960_1002050991923944,27,8,5,0
100000253128792_8343396099012078,3,1,5,0
100054018369551_968649241612346,10,0,0,0
388269755048066_869364455212336,1,0,0,0
100002611992515_8150816981681954,0,0,0,0
100032312057685_1154047872348937,5,2,60,0
100827555246622_1160861981620904,0,0,0,0
526732022198745_1015844813287461,1,0,10,0
100007550436005_3580589642202682,3,0,0,0
499188214225303_822354146670725,1,0,0,0
2037830259694385_3462974637179933,1,0,0,0
101300416289054_415631158181261,2,0,0,0
100048581383289_1027569878872382,38,1,71,0
567347546643981_880703420762049,0,0,0,0
100005958241582_2330997097108876,0,0,4,0
100002611992515_8148924928537826,0,0,0,0
100827555246622_1160664751640627,0,0,0,0
960934148980080_1011011613972333,2,0,0,0
100040962249076_1234519834590080,10,0,7,0
1791442224225058_960305395895929,3,1,20,0
1791442224225058_960305352562600,0,0,0,0
1791442224225058_960305345895934,0,0,0,0
1791442224225058_960305332562602,0,0,0,0
1791442224225058_960305309229271,0,0,0,0
1791442224225058_960305355895933,0,0,0,0
104783221047128_895993092547550,34,0,0,0
184586842007051_1019074470228361,4,0,0,0
100088207733238_452005577749696,0,0,0,0
2023168317797126_888948856606807,4,0,0,0
113673321586572_472486162390469,1,0,0,0
100007693087422_3744821932450873,6,0,3,0
61550119776308_122230297358003992,0,0,4,0
483663981712302_8080644312014193,0,0,0,0
958888452010809_1159643251935327,1,0,0,0
388269755048066_868603401955108,1,0,0,0
100032312057685_1153354189084972,7,2,90,0
110204953759235_931481632330364,0,0,0,0
101741111319436_877666291049166,33,0,21,0
520351478_10159882673856479,192,0,103,0
104783221047128_895318709281655,30,0,0,0
184586842007051_1018352206967254,2,0,0,0
1406621326310226_1153120555757787,0,0,0,0
2023168317797126_888350793333280,12,3,0,0
389141851104907_890038346499465,10,0,6,0
172347612626206_122151529364125954,1,0,0,0
332673873771448_1033056248820225,1,0,0,0
450517178456736_1012721727526279,1,0,0,0
1199733834_10233613817746153,20,1,9,0
388269755048066_868060635342718,2,0,0,0
100028841371906_1292898841681483,9,0,9,0
483663981712302_8075082495903708,0,0,0,0
2023168317797126_888219403346419,6,0,2,0
100032312057685_1152763479144043,7,2,55,0
510147296_10160445495447297,5,0,0,0
1678419355722404_3926063927624591,0,1,0,0
2023168317797126_888164006685292,6,0,0,0
1456541387_10229879490918876,18,1,12,0
170781491718162_1052230340239935,36,63,39,0
829799700471807_929779075855776,0,0,0,0
100008240834495_3821233541494636,171,6,66,0
104783221047128_894729239340602,33,0,0,0
170781491718162_1052118653584437,20,11,119,0
100000830564301_7926152947422312,8,0,4,0
184586842007051_1017603180375490,1,0,0,0
103342439044955_470520372401649,0,0,0,0
100040774561617_1254224209280053,6,0,0,0
100002079514699_7917864964959409,28,0,3,0
105736094761209_893308222814288,0,0,0,0
133516636501907_122199116978026902,0,0,0,0
100000271514379_8463523623666604,0,0,0,0
100005688120407_2415300828669498,17,0,0,0
100002396184955_7905738559515938,0,0,0,0
100004087822266_3523405297805696,28,0,2,0
100000537060063_8576800065681144,22,0,2,0
115312601171134_482616557834992,2,20,0,0
388269755048066_867464725402309,2,0,0,0
100032312057685_1152263082527416,7,2,61,0
457459190124669_502463902290864,0,0,0,0
1301678075_10234135485310914,1,0,0,0
869956119703153_8254870304544994,1,0,0,0
100046582602504_1021393629423381,2,0,2,0
100052281602746_1052874759798568,3,1,2,0
100089402520941_465394839783930,2,0,0,0
104783221047128_894053306074862,32,0,0,0
184586842007051_1016946087107866,3,0,0,0
100017986185180_1534782070464651,0,0,0,0
271177633534068_1468670953784724,0,0,2,0
104783221047128_885263020287224,32,0,2,0
100025591224614_1341876053342089,37,0,1,0
100027405212400_1558883151701844,14,0,7,0
2860581677516683_3852168828357958,1,0,1,0
6697437473687164_7623358971095005,1,0,0,0
24430306756556514_26730480886539078,1,0,1,0
303675320158957_1805993953260412,1,0,4,0
307228373459556_787887130190859,0,0,0,0
100009100192338_3705014523145184,110,0,33,0
100000949892354_26179137648367875,77,0,28,0
2023168317797126_878374267664266,3,0,0,0
721814184627513_475888098472485,18,0,4,0
100020186962031_1473985026617715,2,0,5,0
193018244068566_877979894372764,24,5,6,0
1230163183668104_802924905304734,170,47,168,0
100046582602504_1012398573656220,4,0,2,0
388269755048066_858173259664789,2,0,0,0
100070408014666_525398479817081,2,0,1,0
100032312057685_1143418036745254,9,2,106,0
617277435291615_977252267742562,8,0,4,0
105788964159269_990690786395093,0,0,2,0
112652141633260_447324848186432,4,0,0,0
429422797257656_2948630362003541,8,0,15,0
100083416893967_464906359633257,15,0,1,0
100004569210145_2869418869887059,171,0,14,0
2023168317797126_878145621020464,8,0,0,0
353045812235150_943124677827383,2,0,0,0
100052281602746_1043969904022387,4,0,0,0
100089402520941_455622437427837,1,0,0,0
184586842007051_1006327671503041,1,0,0,0
104783221047128_884657423681117,37,0,0,0
170781491718162_1039695834826719,14,12,149,0
100013926968878_1898856933921854,2,0,3,0
100000186837214_8724337517582389,3,0,4,0
100091253916037_402799092771885,2645,1129,480,0
100003890395320_3022889057850744,21,0,5,0
1851849241_10219605568770420,37,0,13,0
2023168317797126_877767281058298,8,1,0,0
100001750831093_7832091520192465,67,4,22,0
100005606287713_2464285357101650,3,0,0,0
829799700471807_918835273616823,1,0,0,0
388269755048066_857549526393829,1,0,0,0
112605353532205_793118892933314,3,0,3,0
100032312057685_1142802510140140,5,2,83,0
100003676158102_3245849545547552,1,0,1,0
425081516787190_476538231641518,1,0,10,0
106119597951747_1149589442817160,0,0,0,0
103342439044955_459580593495627,0,0,0,0
107326188438950_499407495935028,3,2,0,0
567347546643981_869069935258731,1,0,0,0
100005958241582_2317854235089829,0,0,0,0
2023168317797126_877461007755592,9,0,0,0
100046553809601_1070959367799180,3,1,0,0
110030582183617_394019213784386,6,1,0,0
315237365483785_801444878793691,5,1,41,0
100089402520941_454870540836360,1,0,0,0
104783221047128_883978843748975,30,0,0,0
1435528150_10225011899471431,5,0,0,0
177748733004256_792837049497493,1,1,0,0
100000211836209_8717362441614064,2,0,0,0
109277241851493_448340297963107,14,0,0,0
2098273187096945_3775343939389853,40,8,29,0
108920107131046_1002850435177918,2,0,1,0
100003930213288_2950683058406006,43,0,18,0
330888370335212_948394167298087,2,0,0,0
567347546643981_868547848644273,0,0,0,0
100005958241582_2317283618480224,2,0,0,0
388269755048066_856825193132929,0,0,0,0
100032312057685_1142181516868906,7,1,77,0
1357644200930875_1064659925384575,27,1,0,0
100095342737017_388804974307591,73,0,21,0
6627869077233092_7945636705456316,5,1,10,0
568786694054816_1550868075846668,1,1,4,0
196547243551663_122156698706231309,3,0,0,0
861130449018806_1008732827591900,0,0,0,0
1604271126583721_2226605721016922,0,0,0,0
1779862445800687_1932026760584254,0,0,4,0
112605353532205_792412643003939,4,0,4,0
100005289673782_2493145297538435,37,0,12,0
100089402520941_454169000906514,1,0,0,0
100052281602746_1042627000823344,3,0,0,0
104783221047128_883310393815820,35,0,0,0
184586842007051_1004858808316594,4,0,0,0
102783304571621_1057636035959768,2,0,0,0
221872857673293_122156495078186143,0,0,0,0
100005922941167_2411694512371290,7,0,0,0
23158860624_1001793691950063,81,44,18,0
23158860624_1475174116438294,12,0,2,0
1399839557305084_1475174116438294,12,0,2,0
894786142336271_931028938711991,0,0,0,0
2349803175067098_7852558128124881,1,1,0,0
100004250834405_2844925698992430,45,0,24,0
461270360651540_878427670990476,4,0,0,0
100002134732588_7774257735988640,16,1,3,0
100009315585518_3761621167491699,22,1,12,0
100006653522468_3821861498045597,42,2,29,0
461270360651540_878410900992153,2,1,0,0
1847320037_10221489154778742,20,0,3,0
535645944418976_1175764340407130,0,0,1,0
994986307198006_796369982608798,9,2,0,0
436013593146522_1006914821441775,16,1,1,0
100050403360871_1041883227501780,0,0,0,0
388269755048066_856142949867820,1,0,0,0
186749271374825_878509877648416,11,0,0,0
1435528150_10225002475315833,4,0,0,0
100032312057685_1141542970266094,15,3,102,0
542988029431527_900819415392318,2,0,0,0
100000435500831_8277739285583839,73,0,18,0
869956119703153_8155576107807748,1,0,5,0
100000038762848_8197889613555583,36,2,10,0
102477414917699_870313968448996,2,0,0,0
683038992404826_1428197981222253,0,0,0,0
175854151847380_458451500254309,0,0,0,0
175854151847380_458451313587661,0,0,0,0
829799700471807_917312030435814,0,0,0,0
1021544704_10230377333110120,121,19,7,0
2023168317797126_876130297888663,9,0,1,0
100052281602746_1041980474221330,4,0,1,0
100089402520941_453449527645128,4,0,0,0
184586842007051_1004107558391719,1,0,0,0
104783221047128_882635630549963,38,0,0,0
110358230863890_996538522475990,13,2,1,0
798430491_10169307617875492,0,0,0,0
2129878990620869_887701496734157,23,1,0,0
2023168317797126_875755064592853,7,0,0,0
459574028917033_1011815747026189,7,0,1,0
461097613987339_876625554483175,0,0,0,0
388269755048066_855508859931229,1,0,0,0
100032312057685_1140925413661183,0,0,0,0
104355317678518_1054783139710904,0,0,0,0
106119597951747_1147704789672292,0,0,0,0
683038992404826_1427681537940564,0,0,0,0
175854151847380_457915330307926,0,0,0,0
2134299223399830_2956575347838876,0,0,0,0
674516572_10159651778601573,0,0,0,0
100000788998597_7826953420674213,0,0,0,0
100003163351049_7826015830847118,0,0,0,0
1141041166695560_1648866265913045,0,0,0,0
492233207999169_1575620599660419,0,0,0,0
557786917647315_7855847014507899,0,0,0,0
100086345244914_452627710958733,0,0,0,0
113673321586572_458895810416171,1,0,0,0
100094141467256_340110725803640,0,0,0,0
100007693087422_3729557687310631,0,0,0,0
1477983602_10226528422304970,0,0,0,0
2023168317797126_875499047951788,8,3,0,0
1273775433_10234807062819002,0,0,0,0
829799700471807_916564087177275,0,0,0,0
100003667171965_3191558500976358,0,0,0,0
100052281602746_1041389217613789,0,0,0,0
170781491718162_1036395795156723,0,0,0,0
100011228354879_2153627661688158,0,0,0,0
100094893090979_322201894286245,0,0,0,0
104783221047128_881952560618270,36,0,0,0
184586842007051_1003396471796161,2,0,0,0
100003329018458_7721513197969571,0,0,0,0
153971464674992_852113613608222,24,12,4,0
100028188674992_1525234558426152,0,0,0,0
100073421052567_510759091381455,0,0,0,0
1637583563_10221918185657255,0,0,0,0
687518666_10160471047338667,0,0,0,0
869956119703153_8146380045394021,0,0,0,0
663527788130198_1164599264689712,0,0,0,0
363697743831525_892866039552024,4267,123,415,0
100000218024659_8629543847062797,0,0,0,0
2023168317797126_875123837989309,7,0,0,0
388269755048066_854869379995177,2,0,0,0
100032312057685_1140383430382048,0,0,0,0
100222062785583_441127168687318,0,0,0,0
100058486675700_882960713663476,0,0,0,0
618121565_10159842006871566,0,0,0,0
881391685332955_2795029417302496,0,0,0,0
1745357935748816_3790348401249749,0,0,0,0
100033970853250_1185282789280738,0,0,0,0
100011414085353_2460392377684541,0,0,0,0
2023168317797126_874851184683241,7,0,0,0
100028244120364_1538127983805324,0,0,0,0
101403963050429_316191378230375,82,2,0,0
